eps,eTiOT,eTAOT
0.005,0.16993977481015976,0.19247746231249774
0.01,0.18997119664833717,0.17244604047432022
0.015,0.17742116485242965,0.15744585343956918
0.02,0.16743350914599942,0.1624209778176785
0.025,0.16995847828526545,0.16993977481015976
0.03,0.15993341562862395,0.17498971308869182
0.035,0.15995211910372953,0.17996483746680136
0.04,0.16496465043205033,0.1724460404743201
0.045,0.1699958852354767,0.17242733699921453
0.05,0.15995211910372953,0.17495230613848056
0.055,0.17743986832753522,0.1724460404743201
0.06,0.16993977481015976,0.16995847828526545
0.065,0.1774585718026409,0.16494594695694464
0.07,0.17493360266337488,0.17992743051659
0.075,0.16995847828526534,0.18245239965585602
0.08,0.16494594695694464,0.18744622750907125
0.085,0.1774585718026409,0.18742752403396545
0.09,0.1724460404743201,0.19745258669060706
0.095,0.16995847828526545,0.20246511801892797
0.1,0.1774585718026409,0.1949463210264467
Final error,0.3093525179856115,0.3237410071942446
