eps,eTiOT,eTAOT
0.005,0.21833333333333327,0.21333333333333326
0.01,0.21166666666666656,0.20833333333333337
0.015,0.20666666666666667,0.21166666666666678
0.02,0.20999999999999996,0.20500000000000007
0.025,0.20666666666666667,0.20666666666666667
0.03,0.20333333333333348,0.20833333333333337
0.035,0.20666666666666667,0.20999999999999996
0.04,0.21333333333333326,0.20999999999999996
0.045,0.20833333333333337,0.22666666666666668
0.05,0.21666666666666667,0.23166666666666658
0.055,0.22166666666666668,0.23166666666666658
0.06,0.23166666666666658,0.2416666666666667
0.065,0.23166666666666658,0.25
0.07,0.2333333333333334,0.2483333333333334
0.075,0.2433333333333333,0.2583333333333333
0.08,0.2433333333333333,0.2683333333333334
0.085,0.2416666666666667,0.2799999999999999
0.09,0.255,0.28833333333333344
0.095,0.2549999999999999,0.29666666666666675
0.1,0.2616666666666667,0.29499999999999993
Final error,0.26116838487972505,0.25773195876288657
