w,lag = 20,lag = 90,lag = 180,lag = 270
0.0,0.0,0.0,0.0,0.0
0.1,0.01841586100323385,0.18971949184636358,0.3300662399894341,0.2134542538954892
0.2,0.03334200346763955,0.3460429752972391,0.5351094863279443,0.3630348653160178
0.30000000000000004,0.04702833823560769,0.46775723822665877,0.5679591640557021,0.44939460809737447
0.4,0.05984398678212157,0.5246327392447495,0.524036302033367,0.46946957299588327
0.5,0.07219985710604071,0.5105089918449911,0.4583486802833483,0.442485904607897
0.6000000000000001,0.08366401569062795,0.45032421285050167,0.38444030519180034,0.3827216499800614
0.7000000000000001,0.08641007390470615,0.36373832789558014,0.30338828251029093,0.30423385529856667
0.8,0.0758933711294408,0.2577056631565455,0.21522658516227847,0.21495215399627376
0.9,0.04914540072775003,0.13884759657277512,0.1193494902152511,0.11784196267106413
1.0,0.004810184979046773,0.008435224806845956,0.008981771764549692,0.010272080646469856
